Project Name,Transacted Price ($),Area (SQFT),Street Name,Type of Sale,Type of Area,Property Type,Number of Units,Postal District,Market Segment,Data_Source,Year,Month,start_floor,end_floor,is_freehold,lease_duration_years,lease_commencement_year,remaining_lease_years,lease_age_at_sale,lease_maturity_ratio,lease_category_encoded,is_peak_season,is_november,quarter,month_sin,month_cos
THE AZURE,2268888.0,1733.0,OCEAN DRIVE,Resale,Strata,Condominium,1.0,4.0,Core Central Region,train,21,4,1,5,0,99,2005,83,16,0.16161616161616163,1,0,0,2,0.8660254037844387,-0.49999999999999983
FLORAVIEW,550000.0,376.74,ANG MO KIO STREET 66,Resale,Strata,Apartment,1.0,20.0,Outside Central Region,train,22,1,1,5,1,9999,0,9999,0,0.0,0,0,0,1,0.49999999999999994,0.8660254037844387
LIVIA,1099000.0,914.94,PASIR RIS GROVE,Resale,Strata,Condominium,1.0,18.0,Outside Central Region,train,24,5,16,20,0,99,2008,83,16,0.16161616161616163,1,0,0,2,0.49999999999999994,-0.8660254037844387
FORETT@BUKIT TIMAH,1662000.0,721.19,TOH TUCK ROAD,Sub Sale,Strata,Apartment,1.0,21.0,Rest of Central Region,train,23,12,1,5,1,9999,0,9999,0,0.0,0,0,0,4,-2.4492935982947064e-16,1.0
NEWTON LODGE,1850000.0,1216.33,NEWTON ROAD,Resale,Strata,Apartment,1.0,11.0,Core Central Region,train,21,7,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-0.4999999999999998,-0.8660254037844388
MARINA COLLECTION,6250000.0,3412.19,COVE DRIVE,Resale,Strata,Condominium,1.0,4.0,Core Central Region,train,21,3,1,5,0,99,2007,85,14,0.1414141414141414,1,0,0,1,1.0,6.123233995736766e-17
D'LEEDON,1420000.0,785.77,LEEDON HEIGHTS,Resale,Strata,Condominium,1.0,10.0,Core Central Region,train,21,12,16,20,0,99,2010,88,11,0.1111111111111111,1,0,0,4,-2.4492935982947064e-16,1.0
WALLICH RESIDENCE,4220000.0,1313.21,WALLICH STREET,Resale,Strata,Apartment,1.0,2.0,Core Central Region,train,21,10,46,50,0,99,2011,89,10,0.10101010101010101,1,1,0,4,-0.8660254037844386,0.5000000000000001
FORESQUE RESIDENCES,2310000.0,2206.62,PETIR ROAD,Resale,Strata,Condominium,1.0,23.0,Outside Central Region,train,24,4,21,25,0,99,2011,86,13,0.13131313131313133,1,0,0,2,0.8660254037844387,-0.49999999999999983
CANNINGHILL PIERS,2182000.0,818.06,CLARKE QUAY,New Sale,Strata,Apartment,1.0,6.0,Rest of Central Region,train,21,11,1,5,0,99,2021,99,0,0.0,1,1,1,4,-0.5000000000000004,0.8660254037844384
FLAMINGO VALLEY,1187000.0,818.06,SIGLAP ROAD,Resale,Strata,Condominium,1.0,15.0,Outside Central Region,train,21,8,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-0.8660254037844384,-0.5000000000000004
TWIN VEW,1800000.0,1054.87,WEST COAST VALE,Resale,Strata,Apartment,1.0,5.0,Outside Central Region,train,24,2,1,5,0,99,2017,92,7,0.0707070707070707,1,0,0,1,0.8660254037844386,0.5000000000000001
SERENITY PARK,1460000.0,1323.97,TAMARIND ROAD,Resale,Strata,Condominium,1.0,28.0,Outside Central Region,train,21,9,1,5,1,9999,0,9999,0,0.0,0,0,0,3,-1.0,-1.8369701987210297e-16
