Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
THE AZURE,"1,733",Apr-21,OCEAN DRIVE,Resale,Strata,161,Condominium,1,99 yrs lease commencing from 2005,4,Core Central Region,01 to 05,2268888
FLORAVIEW,376.74,Jan-22,ANG MO KIO STREET 66,Resale,Strata,35,Apartment,1,Freehold,20,Outside Central Region,01 to 05,550000
LIVIA,914.94,May-24,PASIR RIS GROVE,Resale,Strata,85,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,16 to 20,1099000
FORETT@BUKIT TIMAH,721.19,Dec-23,TOH TUCK ROAD,Sub Sale,Strata,67.0,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1662000
NEWTON LODGE,"1,216.33",Jul-21,NEWTON ROAD,Resale,Strata,113,Apartment,1,Freehold,11,Core Central Region,01 to 05,1850000
MARINA COLLECTION,"3,412.19",Mar-21,COVE DRIVE,Resale,Strata,317,Condominium,1,99 yrs lease commencing from 2007,4,Core Central Region,01 to 05,6250000
D'LEEDON,785.77,Dec-21,LEEDON HEIGHTS,Resale,Strata,73,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20,1420000
WALLICH RESIDENCE,"1,313.21",Oct-21,WALLICH STREET,Resale,Strata,122,Apartment,1,99 yrs lease commencing from 2011,2,Core Central Region,46 to 50,4220000
FORESQUE RESIDENCES,"2,206.62",Apr-24,PETIR ROAD,Resale,Strata,205,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,21 to 25,2310000
CANNINGHILL PIERS,818.06,Nov-21,CLARKE QUAY,New Sale,Strata,76,Apartment,1,99 yrs lease commencing from 2021,6,Rest of Central Region,01 to 05,2182000
FLAMINGO VALLEY,818.06,Aug-21,SIGLAP ROAD,Resale,Strata,76,Condominium,1,Freehold,15,Outside Central Region,01 to 05,1187000
TWIN VEW,"1,054.87",Feb-24,WEST COAST VALE,Resale,Strata,98,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,01 to 05,1800000
SERENITY PARK,"1,323.97",Sep-21,TAMARIND ROAD,Resale,Strata,123,Condominium,1,Freehold,28,Outside Central Region,01 to 05,1460000
SUNVILLE,"1,162.51",Aug-23,ST. MICHAEL'S ROAD,Resale,Strata,108.0,Apartment,1,Freehold,12,Rest of Central Region,01 to 05,1480000
CHANGI GREEN,"1,431.61",Dec-24,UPPER CHANGI ROAD EAST,Resale,Strata,133.0,Condominium,1,Freehold,16,Outside Central Region,01 to 05,1770000
PINETREE HILL,764.24,Jul-23,PINE GROVE,New Sale,Strata,71.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,16 to 20,1820000
RIVERFRONT RESIDENCES,462.85,Aug-20,HOUGANG AVENUE 7,New Sale,Strata,43,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,733000
HILLHAVEN,958,Sep-24,HILLVIEW RISE,New Sale,Strata,89.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,16 to 20,2008224
SKYLINE 360 @ SAINT THOMAS WALK,"2,131.27",Mar-23,ST. THOMAS WALK,Resale,Strata,198,Condominium,1,Freehold,9,Core Central Region,21 to 25,5700000
NINE RESIDENCES,570.49,Aug-22,YISHUN AVENUE 9,Resale,Strata,53,Apartment,1,99 yrs lease commencing from 2013,27,Outside Central Region,01 to 05,715000
AMBER PARK,548.96,Jul-21,AMBER GARDENS,New Sale,Strata,51,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,1288990
WHISTLER GRAND,958,Aug-20,WEST COAST VALE,New Sale,Strata,89,Apartment,1,99 yrs lease commencing from 2018,5,Outside Central Region,31 to 35,1476000
SKY VUE,796.54,Sep-22,BISHAN STREET 15,Resale,Strata,74,Condominium,1,99 yrs lease commencing from 2013,20,Rest of Central Region,06 to 10,1438000
VENTANA,"1,184.04",Nov-20,PASIR PANJANG HILL,Resale,Strata,110,Apartment,1,Freehold,5,Rest of Central Region,01 to 05,1400000
ARDMORE PARK,"2,884.75",Nov-21,ARDMORE PARK,Resale,Strata,268,Condominium,1,Freehold,10,Core Central Region,21 to 25,11000000
